Mean,STD
0.4856657142857143,0.722592729625453
0.45948857142857147,0.6106409683426812
0.6808257142857144,0.5706529832222944
0.38900000000000007,0.2679193392663941
0.11370000000000002,0.6630734015796086
0.16992000000000002,0.32172991943371315
0.33134,0.7599358646313129
0.24612857142857147,0.3529490494570074
-0.5072485714285715,0.7034958043151897
0.5905771428571428,0.7437454621060631
-0.24259714285714284,0.5676966549579274
0.27956571428571425,0.46235858120450773
0.18666857142857132,0.33823291902563984
0.6911171428571425,0.39935553191855194
0.0834085714285715,0.7350456093777761
0.4733,0.33239648012576783
0.2530742857142857,0.40691655333514176
0.5577942857142857,0.5329747858194868
0.18129428571428566,0.8484601740949366
0.5559085714285715,0.4220196750162726
0.20142285714285713,0.3783428099159888
-0.6622228571428572,0.5762285571285235
0.6554428571428571,0.42918895282484937
0.5848800000000001,0.36878597316058537
0.12404285714285714,0.4313497293282988
0.6749171428571428,0.41053418177218975
0.5752085714285714,0.3218802091493306
0.4556999999999999,0.8951220662733166
0.4623257142857143,0.3519791265058176
0.19989142857142858,0.4144410781731354
0.45386000000000004,0.41659565895340717
0.1932514285714286,0.3069189664768101
-0.18055142857142858,0.20615925507670402
0.415,0.6981768855593916
0.38791142857142863,0.28540220203139594
0.31306,0.8518520643453367
