T-Score,DOF
-0.02533575560276198,84
-0.7501420674871463,84
-0.9217040528101166,84
0.14382388708856178,84
-0.3047675406733611,84
0.07587682100828573,84
-0.3740461680377343,84
0.32528274063044355,84
-0.7263225094409419,84
0.03243473697880511,84
-0.8399448510998875,84
-0.679426322608479,84
-0.45815020388759536,84
-0.5383387684296039,84
-0.6652811894635449,84
0.16796494283969465,84
-0.862941789188097,84
-0.6542218150011625,84
-0.9276051771290649,84
-0.01236296214271633,84
-0.41111155039635255,84
0.4470213146062461,84
0.31448096280174126,84
-0.47391594471415366,84
-0.42661784216042514,84
-0.7265955091180362,84
-0.7088782543320081,84
-0.10663394420038376,84
-0.12428437826785149,84
-0.12866920311050364,84
0.14315628566733518,84
0.4670975974342834,84
-0.4803647723078234,84
-0.4870108275541958,84
-1.0319253650230076,84
-0.3477026469207378,84
0.2183868624802878,84
-1.071245914600408,84
-0.34829857447991025,84
-0.14916559896292386,84
-0.7821879102870797,84
0.06423398107792641,84
-0.3946337008323785,84
-0.40539548343640125,84
-0.09281431045790793,84
0.18947613929116014,84
-0.34497012633704965,84
-0.3719240707544313,84
0.10767467864613635,84
0.8815657033701694,84
0.2929514053662661,84
0.4699570194181528,84
0.11845415486998663,84
-0.13009803394086789,84
0.10661605472758877,84
