Target uniprot,Name,Small molecule,Description,IUPAC name,Affected organism
Q14524; P35498; P10632; P33261; P11712; P20813; P20815; P02768; P08684; Q9NYB5; P08183; Q92887; P15538; P24462; O75469; Q07699; Q9NY46; P22309; P19224; O60656; P05543; Q12809; Q13936; Q01668; O60840; Q13698; Q02641; Q08289; P54284; O00305; O00555; Q99250; Q9UQD0; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P05177; P11509; P10635; P05181; P07099; P22310; P21964; P15559; P33260,Phenytoin,true,"Phenytoin is classified as a hydantoin derivative and despite its narrow therapeutic index, it is one of the most commonly used anticonvulsants.[A33595,A188832,A189219] Since it's introduction about 80 years ago, phenytoin has not only been established as an effective anti-epileptic, but has also been investigated for several other indications such as bipolar disorder, retina protection, and wound healing.[A188826,A188832]

Clinicians are advised to initiate therapeutic drug monitoring in patients who require phenytoin since even small deviations from the recommended therapeutic range can lead to suboptimal treatment, or adverse effects.[A189219,A35884] Both parenteral and oral formulations of phenytoin are available on the market.[A189219]","5,5-diphenylimidazolidine-2,4-dione",Humans and other mammals
Q99250; P22310; P08183; P35503; P00374; P46098; Q15878; P30542; P29274; P35348; P08913; P08588; P21728; P21918; P14416; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P14867; P47869; P34903; P48169; P31644; Q16445; Q8N1C3; P18507; Q99928; P35367; P41145; P11229; P08172; P20309; P08173; P08912; P28223; P22309; O15244,Lamotrigine,true,"Lamotrigine is an antiepileptic drug belonging in the phenyltriazine class used in the treatment of epilepsy and bipolar disorder. For epilepsy it is used to treat partial seizures, primary and secondary tonic-clonic seizures, and seizures associated with Lennox-Gastaut syndrome. Lamotrigine also acts as a mood stabilizer. It is the first medication since lithium granted Food and Drug Administration (FDA) approval for the maintenance treatment of bipolar type I. In the US, lamotrigine is available as oral tablets under the market name Lamictal. Chemically unrelated to other anticonvulsants, lamotrigine has relatively few side-effects and does not require blood monitoring. While lamotrigine is primarily indicated for epilepsy and bipolar disorders, there is evidence that it could have some clinical efficacy in some neuropathic pain states. Lamotrigine is also used as an off-label drug in treating other neurologic and psychiatric pathologies like borderline personality disorder [A31737]. The exact mechanism of action of lamotrigine is not fully elucidated, as it may have multiple cellular actions that contribute to its broad clinical efficacy.","6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine",Humans and other mammals
P14867; P31644; P34903; P47869; P48169; Q16445; P08684; P20815; P22310; P24462,Midazolam,true,"Midazolam is a short-acting hypnotic-sedative drug with anxiolytic, muscle relaxant, anticonvulsant, sedative, hypnotic, and amnesic properties.[A173842] It belongs to a class of drugs called _benzodiazepines_. This drug is unique from others in this class due to its rapid onset of effects and short duration of action.[A173842] Midazolam is available by oral, rectal, intranasal, intramuscular (IM), and intravenous (IV) routes and has been used in various biomedical applications, including dentistry, cardiac surgery, and endoscopic procedures as pre-anesthetic medication, and as an adjunct to local anesthesia.[F2977]

This drug was initially approved by the US FDA in 1985, and has been approved for various indications since.[FDA label] In late 2018, the intramuscular preparation was approved by the FDA for the treatment of status epilepticus in adults.[FDA label] In May 2019, the nasal spray of midazolam was approved for the acute treatment of distinctive intermittent, stereotypic seizure episodes in patients 12 years of age and older. Midazolam is considered a schedule IV drug in the United States due to the low potential for abuse and low risk of dependence.[L5074]","12-chloro-9-(2-fluorophenyl)-3-methyl-2,4,8-triazatricyclo[8.4.0.0²,⁶]tetradeca-1(10),3,5,8,11,13-hexaene",Humans and other mammals
P98194; P30049; P14867; Q09470; P42261; P23415; P0DP23; P05181; P02768; P20813; P03886; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P43681; P17787,Isoflurane,true,"A stable, non-explosive inhalation anesthetic, relatively free from significant side effects.","2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",Humans and other mammals
P14867; P33261; P11712; P08684; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q9HCF6; P05181; P05177; P22309; Q9HAW8; P35503; P22310; P19224; Q9HAW7; Q9HAW9; O60656; P54855; P06133; P16662,Primidone,true,"Primidone is an anticonvulsant used to treat essential tremor as well as grand mal, psychomotor, and focal epileptic seizures.[L11112] Primidone was developed by J Yule Bogue and H C Carrington in 1949.[A189522]

Primidone was granted FDA Approval on 8 March 1954.[L11112]","5-ethyl-5-phenyl-1,3-diazinane-4,6-dione",Humans and other mammals
P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P24046; P28476; Q9UN88; A8MPY1; P54855; P16662; O60656; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Oxazepam,true,Oxazepam is an intermediate-acting benzodiazepine used to treat alcohol withdrawal and anxiety disorders. Oxazepam is also the metabolite of other benzodiazpines.,"7-chloro-3-hydroxy-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-2-one",Humans and other mammals
P30536; P08684; P20815; P24462; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P24046; P28476; A8MPY1; Q9UN88; P10632; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Triazolam,true,"Withdrawn in the United Kingdom due to risk of psychiatric adverse drug reactions. This drug continues to be available in the U.S. Internationally, triazolam is a Schedule IV drug under the Convention on Psychotropic Substances.","12-chloro-9-(2-chlorophenyl)-3-methyl-2,4,5,8-tetraazatricyclo[8.4.0.0²,⁶]tetradeca-1(10),3,5,8,11,13-hexaene",Humans and other mammals
P14867; P23415; Q12791; P98194; P03886; O15554; P30049; P08100; P48051; P48549; P59768; Q6W5P4; P05181; P11509; P08684; Q8TCU5; O60391; Q12879; O14649; Q9NPC2; P02768; P20813; P11712; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Halothane,true,"A nonflammable, halogenated, hydrocarbon anesthetic that provides relatively rapid induction with little or no excitement. Analgesia may not be adequate. nitrous oxide is often given concomitantly. Because halothane may not produce sufficient muscle relaxation, supplemental neuromuscular blocking agents may be required. (From AMA Drug Evaluations Annual, 1994, p178)","2-bromo-2-chloro-1,1,1-trifluoroethane",Humans and other mammals
P14867; P33261; P11712; P20813; P10632; P05177; P08684; O15438; O95342; P08183; P33527; Q92959; Q92887; P43681; P36544; P42262; Q13002; P11509; P05181; P20815; P04798; P33260; P24462; P13584; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391; O75469; P22309; P16662,Phenobarbital,true,"A barbituric acid derivative that acts as a nonselective central nervous system depressant. It promotes binding to inhibitory gamma-aminobutyric acid subtype receptors, and modulates chloride currents through receptor channels. It also inhibits glutamate induced depolarizations.","5-ethyl-5-phenyl-1,3-diazinane-2,4,6-trione",Humans and other mammals
P98194; P03886; P23415; P42261; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q09470; P30049; P02768,Desflurane,true,"Desflurane is a highly fluorinated methyl ethyl ether used for maintenance of general anaesthesia. Volatile agents such as desflurane may activate GABA channels and hyperpolarize cell membranes. In addition, they may inhibit certain calcium channels and therefore prevent release of neurotransmitters and inhibit glutamate channels. Volatile anesthetics easily partition into cellular membranes and could expand the volume of the cell membrane and subsequently distort channels necessary for sodium ion flux and the development of action potentials necessary for synaptic transmission. Desflurane preconditions human myocardium against ischemia through activation of mitochondrial K(ATP) channels, adenosine A1 receptor, and alpha and beta adrenoceptors.","2-(difluoromethoxy)-1,1,1,2-tetrafluoroethane",Humans and other mammals
P47869; P14867; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P24046; P28476; Q9UN88; A8MPY1; P05177; P33261; P05181,Bromazepam,true,One of the benzodiazepines that is used in the treatment of anxiety disorders. It is a Schedule IV drug in the U.S. and Canada and under the Convention on Psychotropic Substances. It is a intermediate-acting benzodiazepine.,"7-bromo-5-(pyridin-2-yl)-2,3-dihydro-1H-1,4-benzodiazepin-2-one",Humans and other mammals
P14867; P35498; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P24046; P28476; A8MPY1; Q9UN88; P08684; P05181,Nitrazepam,true,A benzodiazepine derivative used as an anticonvulsant and hypnotic.,"7-nitro-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-2-one",Humans and other mammals
P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Ethchlorvynol,true,"Ethchlorvynol is a sedative and hypnotic drug. It has been used to treat insomnia, but has been largely superseded and is only offered where an intolerance or allergy to other drugs exists.",(1E)-1-chloro-3-ethylpent-1-en-4-yn-3-ol,Humans and other mammals
P14867; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Talbutal,true,"Talbutal, also called 5-allyl-5-sec-butylbarbituric acid, is a barbiturate with a short to intermediate duration of action. Talbutal is a schedule III drug in the U.S.","5-(butan-2-yl)-5-(prop-2-en-1-yl)-1,3-diazinane-2,4,6-trione",Humans and other mammals
P14867; P08684; P48169; Q16445; P47869; P34903; P31644; P43681; P36544; P42262; Q13002; P33261; P11509; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391; O75469,Pentobarbital,true,"A short-acting barbiturate that is effective as a sedative and hypnotic (but not as an anti-anxiety) agent and is usually given orally. It is prescribed more frequently for sleep induction than for sedation but, like similar agents, may lose its effectiveness by the second week of continued administration. (From AMA Drug Evaluations Annual, 1994, p236)","5-ethyl-5-(pentan-2-yl)-1,3-diazinane-2,4,6-trione",Humans and other mammals
P14867; P47869; P34903; P48169; P31644; Q16445; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Meprobamate,true,"A carbamate with hypnotic, sedative, and some muscle relaxant properties, although in therapeutic doses reduction of anxiety rather than a direct effect may be responsible for muscle relaxation. Meprobamate has been reported to have anticonvulsant actions against petit mal seizures, but not against grand mal seizures (which may be exacerbated). It is used in the treatment of anxiety disorders, and also for the short-term management of insomnia but has largely been superseded by the benzodiazepines. (From Martindale, The Extra Pharmacopoeia, 30th ed, p603) Meprobamate is a controlled substance in the U.S.",2-[(carbamoyloxy)methyl]-2-methylpentyl carbamate,Humans and other mammals
P31645; P23975; P08913; P14416; P35348; P21728; P11229; P14867; P02763; P10635; P28223; P28335; P50406; P34969; P35462; P21917; P35367; P35348; P35368; P25100; P11229; P08172; P20309; P08173; P08912; P41595; P46098; P08908; P28222; P08913; P18089; P18825; Q9H3N8; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q01959,Amoxapine,true,"Amoxapine, the <i>N</i>-demethylated derivative of the antipsychotic agent loxapine, is a dibenzoxazepine-derivative tricyclic antidepressant (TCA). TCAs are structurally similar to phenothiazines. They contain a tricyclic ring system with an alkyl amine substituent on the central ring. In non-depressed individuals, amoxapine does not affect mood or arousal, but may cause sedation. In depressed individuals, amoxapine exerts a positive effect on mood. TCAs are potent inhibitors of serotonin and norepinephrine reuptake. In addition, TCAs down-regulate cerebral cortical &beta;-adrenergic receptors and sensitize post-synaptic serotonergic receptors with chronic use. The antidepressant effects of TCAs are thought to be due to an overall increase in serotonergic neurotransmission. TCAs also block histamine H<sub>1</sub> receptors, &alpha;<sub>1</sub>-adrenergic receptors and muscarinic receptors, which accounts for their sedative, hypotensive and anticholinergic effects (e.g. blurred vision, dry mouth, constipation, urinary retention), respectively. See toxicity section below for a complete listing of side effects. Amoxapine may be used to treat neurotic and reactive depressive disorders, endogenous and psychotic depression, and mixed symptoms of depression and anxiety or agitation.","13-chloro-10-(piperazin-1-yl)-2-oxa-9-azatricyclo[9.4.0.0³,⁸]pentadeca-1(11),3,5,7,9,12,14-heptaene",Humans and other mammals
P33261; P08684; P14867; P47869; P34903; P31644; Q8N1C3; P18507; Q99928; P18505; P47870; P28472; O14764; P78334; O00591; P24046; P28476; A8MPY1,Adinazolam,true,"Adinazolam (Deracyn®) is a benzodiazepine derivative with anxiolytic, anticonvulsant, sedative, and antidepressant properties. Adinazolam was first developed to enhance the antidepressant effects of [alprazolam]. It has never been approved by the FDA for clinical use.","({12-chloro-9-phenyl-2,4,5,8-tetraazatricyclo[8.4.0.0²,⁶]tetradeca-1(10),3,5,8,11,13-hexaen-3-yl}methyl)dimethylamine",Humans and other mammals
P14867; P47869; P34903; P31644; Q8N1C3; P18507; Q99928; P18505; P47870; P28472; O14764; P78334; O00591; P24046; P28476; A8MPY1; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Halazepam,true,"Halazepam is a _benzodiazepine_ derivative drug exerting anxiolytic, anticonvulsant, sedative, a muscle relaxing effects.[A1212, A178114] It has been shown to be less toxic than chlordiazepoxide or diazepam.[A1212] This drug is no longer marketed in the United States, and was withdrawn by _Schering_, its manufacturer, in 2009.[L6226, L6229]","7-chloro-5-phenyl-1-(2,2,2-trifluoroethyl)-2,3-dihydro-1H-1,4-benzodiazepin-2-one",Humans and other mammals
P14867; P33261; P20813; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; O75469,Methylphenobarbital,true,"A barbiturate that is metabolized to phenobarbital. It has been used for similar purposes, especially in epilepsy, but there is no evidence mephobarbital offers any advantage over phenobarbital.","5-ethyl-1-methyl-5-phenyl-1,3-diazinane-2,4,6-trione",Humans and other mammals
P08684; P14867; P47869; P34903; P31644; Q8N1C3; P18507; Q99928; P18505; P47870; P28472; O14764; P78334; O00591; P24046; P28476; A8MPY1; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Estazolam,true,"A benzodiazepine with anticonvulsant, hypnotic, and muscle relaxant properties. It has been shown in some cases to be more potent than diazepam or nitrazepam.","12-chloro-9-phenyl-2,4,5,8-tetraazatricyclo[8.4.0.0²,⁶]tetradeca-1(10),3,5,8,11,13-hexaene",Humans and other mammals
P14867,Dihydroquinidine barbiturate,true,"",,""
P14867; P47869; Q14524; O00180; P42262,Quinidine barbiturate,true,The administration of quinidine derivatives helps to observe various skin and mucosal reactions. A papulopurpuric eruption in a  patient (without thrombopenia) can be developed who is taking quinidine phenylethyl barbiturate intermittently and at reintroduction.(PMID: 9739909),"5-ethyl-5-phenyl-1,3-diazinane-2,4,6-trione; {5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl}(6-methoxyquinolin-4-yl)methanol",""
P11712; P14555; P23975; P23415; P14867; P47870; P18507; P08684,Ginkgo biloba,false,"The extract of the Ginkgo leaves contains flavonoid glycosides and terpenoids (ginkgolides, bilobalides) and has been used pharmaceutically for hundreds of years. It has many alleged nootropic properties, and is mainly used as memory and concentration enhancer, and anti-vertigo agent. Ginkgo extract seems to have three effects on the human body: it improves blood flow (including microcirculation in small capillaries) to most tissues and organs; it protects against oxidative cell damage from free radicals; and it blocks many of the effects of PAF (platelet aggregation, blood clotting) that have been related to the development of a number of cardiovascular, renal, respiratory and CNS (Central Nervous System) disorders.",,""
P05108; P14867; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Glutethimide,true,Glutethimide is a hypnotic and sedative. Its use has been largely superseded by other drugs.,"3-ethyl-3-phenylpiperidine-2,6-dione",Humans and other mammals
P14867; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; P08684; P33261,Barbital,true,A long-acting barbiturate that depresses most metabolic processes at high doses. It is used as a hypnotic and sedative and may induce dependence. Barbital is also used in veterinary practice for central nervous system depression. Barbital is a schedule IV controlled drug.,"5,5-diethyl-1,3-diazinane-2,4,6-trione",""
P47869; P48169; P31644; Q16445; P34903; P30536; P33261; P16662; P11509; P20813; P11712; P08684; P05181; P22309; P35503; P14867; P28472; P18507,Flunitrazepam,true,Flunitrazepam is a benzodiazepine with pharmacologic actions similar to those of diazepam that can cause anterograde amnesia. Some reports indicate that it is used as a date rape drug and suggest that it may precipitate violent behavior. The United States Government has banned the importation of this drug.,"5-(2-fluorophenyl)-1-methyl-7-nitro-2,3-dihydro-1H-1,4-benzodiazepin-2-one",Humans and other mammals
P30536; P14867; P18505; Q8N1C3; O14764; P78334; P08684; P08183; P02768,Ketazolam,true,"Ketazolam is a benzodiazepine derivative with anxiolytic, anticonvulsant, sedative and skeletal muscle relaxant activity. Ketazolam is not approved in Canada or America.","14-chloro-4,10-dimethyl-2-phenyl-3-oxa-7,10-diazatricyclo[9.4.0.0²,⁷]pentadeca-1(11),4,12,14-tetraene-6,9-dione",""
P37610; P54965; P23415; Q7Z2H8; P31641; P46059; O95932; Q14032; Q13224; P23416; O75311; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q9UBS5,Taurine,true,"Taurine, whose chemical name is 2-aminoethanesulfonic acid, is one of the most abundant amino acids in several organs. It plays important role in essential biological processes.[A31396] This conditional amino acid can be either be manufactured by the body or obtained in the diet mainly by the consumption of fish and meat.[L1058] The supplements containing taurine were FDA approved by 1984 and they are hypertonic injections composed by cristalline amino acids.[FDA label]",2-aminoethane-1-sulfonic acid,Humans and other mammals
P14867; P11509; P20813; P33261; P08684,Clomethiazole,true,"Clomethiazole is a well-established γ-aminobutyric acid (GABAA)-mimetic drug. It is a sedative and hypnotic that is widely used in treating and preventing symptoms of acute alcohol withdrawal. It is a drug which is structurally related to thiamine (vitamin B1) but acts like a sedative, hypnotic, muscle relaxant and anticonvulsant. It is also used for the management of agitation, restlessness, short-term insomnia and Parkinson's disease in the elderly.","5-(2-chloroethyl)-4-methyl-1,3-thiazole",""
P14867; P47869; P34903; P48169; P31644; Q16445; Q8N1C3; P18507; Q99928,Adipiplon,true,Adipiplon is an nonbenzodiazepine anxiolytic developed by Neurogen Corporation. It is known by the standardized identifier NG2-73.,"3-fluoro-2-[1-({2-methyl-8-propyl-[1,2,4]triazolo[1,5-c]pyrimidin-7-yl}methyl)-1H-imidazol-2-yl]pyridine",""
P30536; P54855; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P08684,Lorazepam,true,"Lorazepam is a short-acting and rapidly cleared benzodiazepine used commonly as a sedative and anxiolytic.[A957] It was developed by DJ Richards, presented and marketed initially by Wyeth Pharmaceuticals in the USA in 1977. The first historic FDA label approval is reported in 1985 by the company Mutual Pharm.[L5095]","7-chloro-5-(2-chlorophenyl)-3-hydroxy-2,3-dihydro-1H-1,4-benzodiazepin-2-one",Humans and other mammals
P14867; P35498; Q9Y5Y9; Q9UI33; Q99250; Q9NY46; P35499; Q14524; Q01118; Q9UQD0; Q15858; P00918; P22748; P39086; Q13002; Q13003; Q16099; Q16478; P33261; P08684; P00915; P07451; Q13936; Q01668; O60840; Q13698; Q02641; Q08289; P54284; O00305; Q15878; P02768; P08183; Q13131; P54646; Q9Y478; O43741; P54619; Q9UGJ0; Q9UGI9,Topiramate,true,"Topiramate is a anti-epileptic drug used to manage seizures and prevent migraines.[A175249] It was initially approved by the FDA in 1996. In 2004, topiramate was approved for the prevention of migraine in adults.[A188309,L10544] Since 2012, the extended-release formulation has been approved in combination with [phentermine] for chronic weight management therapy in adults.[L10550] 

Characteristics that distinguish topiramate from other antiepileptic drugs are a monosaccharide chemical structure containing a sulfamate, and 40% of its mass accounted for by oxygen.[A175249] Interestingly, topiramate was discovered by chance when attempts were made to formulate a novel antidiabetic drug.[A188330]","[(1R,2S,6S,9R)-4,4,11,11-tetramethyl-3,5,7,10,12-pentaoxatricyclo[7.3.0.0²,⁶]dodecan-6-yl]methyl sulfamate",Humans and other mammals
P21728; P11229; P20309; P28223; P21917; P35367; P08173; P08172; P14416; P28335; P35462; P35368; P05177; P46098; P50406; P35348; P21918; P02768; P02763; P31513; P10635; P08183; P33261; P21728; P21918; P08588; P07550; P13945; P08908; P28222; P28221; P28566; P30939; P14867; P47869; P34903; P48169; P31644; Q16445; Q8N1C3; P18507; Q99928; P11712; P22310; P08684; P08684; Q9HB55; P20815; P24462,Olanzapine,true,"Olanzapine is a thienobenzodiazepine classified as an atypical or second-generation antipsychotic agent.[A176996] The second-generation antipsychotics were introduced in the 90s and quickly widespread due to the presumed higher efficacy, less extrapyramidal side effects and fewer drug-drug interactions.[A177011] Olanzapine presents a very close resemblance to [clozapine] and it only differs by two additional methyl groups and the absence of a chloride moiety.[T554] It was obtained by the research of Eli Lilly and approved to be marketed in the US in 1996.[T548]","5-methyl-8-(4-methylpiperazin-1-yl)-4-thia-2,9-diazatricyclo[8.4.0.0³,⁷]tetradeca-1(14),3(7),5,8,10,12-hexaene",Humans and other mammals
P33261; P08684; P20813; P33260; P30531; P48066; P08183; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P10635,Clobazam,true,"Clobazam belongs to the 1,5-benzodiazepine class of drugs and is expected to have a better side-effect profile compared to older 1,4-benzodiazepines. It has been marketed as an anxiolytic since 1975 and an anticonvulsant since 1984. The oral preparation was FDA approved on October 21, 2011. An oral suspension is expected to be available in 2013.","7-chloro-1-methyl-5-phenyl-2,3,4,5-tetrahydro-1H-1,5-benzodiazepine-2,4-dione",Humans and other mammals
P14867; Q16445; P30536; P34903; P48169; P31644; P47869; P08684; P11712; P20815; P24462; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P02768; P02763; P19652,Alprazolam,true,"Alprazolam is a triazolobenzodiazepine indicated for the treatment of anxiety and panic disorders.[Label] It is mainly metabolized by CYP3As and so is contraindicated with CYP3A inhibitors like ketoconazole and itraconazole.[Label] Benzodiazepine treatment should be stopped gradually by tapering down a patient's dose to avoid withdrawal symptoms.[A18125] Alprazolam's adverse effects are generally related to the sedation it can cause.[A18125] Alprazolam has been mixed with alcohol as a drug of abuse to potentiate the sedative effects of the drug which may lead to coma and death.[A18125] Alprazolam was given FDA approval on October 16, 1981[L6148].","12-chloro-3-methyl-9-phenyl-2,4,5,8-tetraazatricyclo[8.4.0.0²,⁶]tetradeca-1(10),3,5,8,11,13-hexaene",Humans and other mammals
P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Chlordiazepoxide,true,"An anxiolytic benzodiazepine derivative with anticonvulsant, sedative, and amnesic properties. It has also been used in the symptomatic treatment of alcohol withdrawal.","7-chloro-2-(methylamino)-5-phenyl-3H-1,4-benzodiazepin-4-ium-4-olate",Humans and other mammals
P14867; O00519; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; P08684; Q9HB55; P20815; P24462; P20309; P33261,Thiopental,true,"A barbiturate that is administered intravenously for the induction of general anesthesia or for the production of complete anesthesia of short duration. It is also used for hypnosis and for the control of convulsive states. It has been used in neurosurgical patients to reduce increased intracranial pressure. It does not produce any excitation but has poor analgesic and muscle relaxant properties. Small doses have been shown to be anti-analgesic and lower the pain threshold. (From Martindale, The Extra Pharmacopoeia, 30th ed, p920)","5-ethyl-5-(pentan-2-yl)-2-sulfanylidene-1,3-diazinane-4,6-dione",Humans and other mammals
P06401; P03372; P08684; P10632; P26439; P11712; P04800; P02768; P08183; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Medroxyprogesterone acetate,true,"Medroxyprogesterone acetate (MPA) is a [progesterone] derivative that is more resistant to metabolism for improved pharmacokinetic properties.[A14848] MPA can be use to treat secondary amenorrhea, endometrial hyperplasia, abnormal uterine bleeding, osteoporosis, vasomotor symptoms in menopause, vulvar and vaginal atrophy, prevent pregnancy, manage pain in endometriosis, prevent pregnancy, and is also used in palliative care for endometrial and renal carcinoma.[L8657,L8660,L8663,L8666,L8669]

Medroxyprogesterone acetate was granted FDA approval on 18 June 1959.[L8657]","(1S,2R,8S,10R,11S,14R,15S)-14-acetyl-2,8,15-trimethyl-5-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadec-6-en-14-yl acetate",Humans and other mammals
P14867; P18505; P28472; P31644; P34903; P47869; P47870; P48169; Q16445; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P28476; Q9UN88; P24046; P08684; A8MPY1; P08183; P05181; P11509; O15244,Flurazepam,true,A benzodiazepine derivative used mainly as a hypnotic.,"7-chloro-1-[2-(diethylamino)ethyl]-5-(2-fluorophenyl)-2,3-dihydro-1H-1,4-benzodiazepin-2-one",Humans and other mammals
P20813; P22309; O60656; P47870; P28472; P02768; P35499; Q99250; O00519; P11712; Q9HAW9; P05181; Q16678; P04798; P05177; P33260; P33261; P10632; P19224; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Propofol,true,"Propofol is an intravenous anaesthetic agent used for induction and maintenance of general anaesthesia. IV administration of propfol is used to induce unconsciousness after which anaesthesia may be maintained using a combination of medications. Recovery from propofol-induced anaesthesia is generally rapid and associated with less frequent side effects (e.g. drowsiness, nausea, vomiting) than with thiopental, methohexital, and etomidate. Propofol may be used prior to diagnostic procedures requiring anaesthesia, in the management of refractory status epilepticus, and for induction and/or maintenance of anaesthesia prior to and during surgeries.","2,6-bis(propan-2-yl)phenol",Humans and other mammals
P14867; Q8TCU5; P23415; P23416; P05181; P04798; P05177; P20813; P33261; P11712; P08684; Q02928; P07327; P00325; P00326; P11766; Q02641; P46098; P08319; P47869; Q9GZZ6; Q13936; P31644; P48169; P40394; P34903; P42261; Q06432; Q15822; Q16445; P42262; P48058; P42263; P43681; P17787; P48549; P48051; P19320; Q99808; P48544; P36544; Q9UGM1; P18505; P28472; P47870; Q13698; Q01668; P28332; P30926; P32297; P30532; Q15825; Q05901; Q8N1C3; Q99928; P78334; O00591; Q9UN88; O14764; P14550; Q14542; A5X5Y0; O95264; Q70Z44; Q8WXA8; Q9Y698; Q92806; P32004,Ethanol,true,"A clear, colorless liquid rapidly absorbed from the gastrointestinal tract and distributed throughout the body. It has bactericidal activity and is used often as a topical disinfectant. It is widely used as a solvent and preservative in pharmaceutical preparations as well as serving as the primary ingredient in alcoholic beverages.",ethanol,Humans and other mammals
