,,DONOR #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilepsy genes,gene id,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
GRIA2,499317616,0.066,0.2211,0.3607,1.7513,1.9658,0.5425,0.9165,0.3771,0.8564,0.6018,1.3822,-0.0005,0.4242,0.6823,0.2043,0.4162,1.133,0.6749,1.0352,0.9036,0.7564,0.7935,1.2997,-0.2522,0.7517,1.2521,0.9537,0.5569,-0.1901,0.724,0.6408,-0.0285,-0.2815,1.1652,1.1411,1.0419,0.7357,0.192,-0.0721,0.6224,0.8986,0.7389,0.8531,1.3985,0.0628,1.3037,1.3625,1.0638,0.1565,0.417,0.0408
KCNQ3,499327431,0.5197,0.3381,0.0972,0.5089,0.3512,-0.0663,0.3536,-0.121,0.3122,0.2523,0.4787,-0.4807,-0.0825,0.1418,-0.3856,-0.3486,0.3248,0.9352,0.5326,0.3241,-0.1484,-0.0084,0.4822,-0.0706,-0.1232,0.1053,0.4307,0.4218,-0.5489,0.12,0.2569,-0.6793,-0.6054,0.3884,0.7694,0.1659,0.41,-0.6631,-0.4292,0.1389,0.2034,0.126,0.5917,0.6176,-0.0023,0.397,0.9838,0.6005,-0.611,-0.4962,-0.5899
GRIK1,499351035,-0.2285,1.2958,-0.1921,2.7997,1.4934,0.7673,0.7394,0.6252,1.8857,0.8033,-0.7985,0.4403,0.5591,0.5654,1.1993,1.5126,0.5466,0.5545,-0.7746,1.6447,0.6715,-0.334,1.6695,-0.2459,0.6594,0.3182,1.5752,0.1136,0.5619,2.1714,2.6878,-1.7431,0.6496,-0.8321,-0.2692,0.1599,0.7775,-0.9636,-1.0171,0.9015,1.5735,0.9731,1.4384,0.4233,0.8123,0.9981,1.1455,0.1436,-0.0068,0.0088,1.6539
ARHGEF9,499353348,0.1697,0.4968,0.4619,1.3606,1.6175,0.3576,0.8807,0.6586,0.7845,0.6484,1.3412,-0.0654,0.3847,0.5427,-0.0642,0.1151,1.0673,1.1864,1.0159,0.873,0.8251,0.5275,1.2328,-0.3171,0.3389,0.8929,1.0509,0.8724,0.1952,0.5058,0.5597,-0.2155,-0.4803,1.114,1.0588,1.1184,0.9008,0.0079,-0.0564,0.8287,0.6009,0.859,0.9145,1.0403,0.6077,0.8463,1.6088,0.9682,0.1851,0.1859,-0.2818
GRIA3,499354037,0.6222,0.3442,-0.3039,1.5707,1.936,0.5888,0.6842,0.8699,0.9673,0.6462,0.899,0.1485,0.1417,0.37,0.0302,0.4371,0.9843,0.4797,0.6656,0.6315,1.0394,0.4141,1.4869,-0.1083,0.273,0.8845,0.9053,0.6034,-0.1689,0.9108,0.7244,-0.5584,-0.2464,0.6463,0.9387,1.0996,0.4544,-0.1901,-0.2518,0.8467,1.0183,0.6073,0.8943,0.7937,0.4578,0.8274,1.3708,0.9965,0.3645,-0.0874,0.0404
SLC25A22,499331881,0.832,0.9639,0.9438,1.0365,0.6097,0.9162,0.6299,0.8846,0.8862,0.7223,1.5135,-0.4625,0.0924,1.3676,1.023,0.7864,1.6452,0.717,0.7777,0.5454,-0.2001,-0.1465,0.6936,0.8414,1.0256,1.2007,1.1943,0.628,0.066,0.8705,0.7688,-0.7349,-0.2294,1.5566,1.7095,1.0765,1.0067,-0.0156,0.6865,1.4095,0.2375,1.0676,1.0158,0.4434,0.9875,0.9192,0.8592,1.3806,0.909,0.0305,0.5355
GRM7,499313027,0.3884,0.888,0.8137,1.5345,1.0085,0.5635,0.9271,0.4795,0.7226,0.8589,1.4285,-0.0264,0.3189,0.4657,0.5753,0.5851,1.3178,0.815,0.9566,0.8645,0.1517,0.5214,0.8491,-0.1863,0.7766,1.1444,1.2417,0.6409,0.1845,0.4286,0.824,0.3229,-0.3576,1.4523,1.0091,0.9578,0.988,0.1983,0.4015,0.6826,0.6248,1.0019,0.6748,1.3593,0.4447,0.8452,1.432,1.0447,0.2846,0.575,0.0529
GABRB2,499320010,-0.5026,-0.3103,-1.2311,0.4524,0.8407,0.0207,-0.0886,-0.0756,0.1802,-0.2976,-0.8771,-0.5986,-0.3713,-0.1362,-0.6114,-0.4599,-0.1067,-0.2068,-0.1144,0.0433,0.1197,-0.1419,0.4667,-1.1267,-0.3865,0.2203,-0.1838,-0.3004,-0.7273,0.0051,0.0642,-0.5471,-0.3505,-0.5861,-0.1059,-0.0777,-0.4645,-0.4285,-0.7995,-0.2725,0.1015,-0.3494,0.0109,0.0226,-0.7513,0.2386,0.1722,-0.1309,-0.432,-0.5333,-0.2584
GABRG2,499320018,-0.0485,0.0643,-0.6329,0.6132,0.4131,-0.1369,0.1491,-0.1411,0.1784,-0.2479,0.0158,-0.5844,-0.1745,-0.1369,-0.4498,-0.4242,0.2263,0.1346,0.183,0.2804,-0.2565,-0.1687,0.258,-0.6441,-0.4536,0.408,0.1876,-0.3166,-0.3864,-0.399,-0.0415,-0.5817,-0.8151,-0.1525,0.9015,-0.0683,-0.1263,-0.6596,-0.5776,-0.241,0.0798,-0.1052,0.1289,0.313,-0.4208,0.0347,0.4266,0.1397,-0.4687,-0.3117,-0.2128
CNTNAP2,499325421,-1.089,-0.6733,-0.5058,0.4517,0.776,-0.196,-0.5951,-0.0121,-0.3448,-0.6141,0.2766,-0.8482,-0.8705,-0.6306,-1.1703,-0.5707,0.3402,-0.3869,-0.3762,-0.2578,-0.2179,-0.9437,0.4319,-0.5692,-0.6469,-0.2232,-0.1526,-0.4394,-1.4557,0.1656,-0.5945,-2.2914,-1.3575,-0.1361,-0.0852,0.0114,0.0004,-1.9066,-1.3112,0.0021,0.0418,-0.4068,-0.1931,0.1652,-0.6383,0.1528,0.4693,0.0292,-0.7785,-1.4297,-1.0352
GRM1,499322681,0.1736,1.4148,0.7694,1.5453,0.3332,0.8922,1.3711,0.4061,0.5551,0.8132,1.2766,-0.1505,0.4362,1.2091,0.748,0.6181,1.3835,1.1635,0.895,1.0163,-0.3696,1.1416,0.8345,-0.0351,0.5311,1.603,1.5514,0.6697,0.2077,-0.0791,1.2947,1.1991,0.2948,0.9646,0.9027,1.0004,1.1832,0.3838,0.4721,0.1769,0.3094,1.4319,1.2346,1.4575,0.6017,0.8044,1.1468,1.3082,0.4377,0.9905,0.4868
GRM2,499313791,-1.1029,-0.2025,0.5742,-0.9995,0.0398,0.0231,0.4207,-0.8887,-0.7206,0.5033,0.4607,-1.288,-0.3058,0.9122,1.5103,-0.3345,1.4484,-0.0628,-0.6582,-0.343,-2.0615,-0.4249,0.2521,-1.5305,-0.7803,-0.043,1.0768,0.1826,0.0788,-0.5223,1.3578,0.566,-0.6415,0.1732,-0.0676,-1.2395,-2.0308,-0.5161,0.9013,-1.0659,-0.4164,1.7944,-0.727,-2.0982,-0.2561,0.4846,0.0007,0.4625,-0.5163,0.0048,-0.3999
DLGAP2,499325667,-0.0609,-0.7956,-0.0029,0.1741,-0.0124,-0.1472,-0.1585,-0.3463,0.0281,0.0159,0.0554,-1.1695,-0.7118,0.032,-0.0833,-0.1682,-0.2285,-0.0322,0.0527,-0.3393,-0.8737,-0.4342,0.1383,-0.8359,-0.0911,-0.1334,0.2995,-0.1531,-0.8849,-0.2423,-0.0042,-0.7977,-0.2489,-0.0855,-0.3062,-0.1196,0.0375,-0.9455,-0.0612,0.2546,0.0051,-0.1119,-0.0914,-0.6467,-0.1581,-0.1247,0.1938,0.0549,-0.3323,-0.8057,-0.3605
CACNB1,499344919,0.8076,-0.0351,0.0561,0.6581,1.0789,0.5402,0.1559,0.2501,0.9209,0.1711,0.3356,-0.3257,0.0262,0.5746,0.3102,-0.2676,0.4622,0.3004,1.2244,-0.1684,0.5562,-0.4828,0.4028,0.3513,-0.1723,0.5518,0.6286,0.5707,-0.3054,0.3507,0.6084,-0.8553,-0.486,0.3882,1.2677,0.2388,0.3834,-0.8537,0.1383,0.8972,0.4954,0.6764,0.1679,0.1414,0.4246,0.4949,1.2299,0.7945,-0.2134,-0.9618,-0.218
CACNA1E,499308197,1.1812,0.5224,1.0915,1.3523,1.1232,1.0788,1.0819,0.9004,0.9844,1.0369,1.5186,0.4087,0.453,1.1572,0.8551,0.6025,1.6044,1.1516,1.1539,0.9971,0.875,1.043,1.3706,0.6473,0.7395,1.3989,1.3472,1.063,0.1639,0.9096,1.068,0.5479,0.0322,1.5448,1.4539,1.2645,0.8947,0.7946,0.9972,1.1221,0.7942,1.2717,1.0372,0.8468,0.7786,1.085,1.4627,1.332,0.6295,0.8556,0.7611
KCNJ3,499311676,-0.192,0.3187,-0.0297,1.6237,1.9378,0.671,0.9448,0.7906,1.0925,0.4287,0.6807,0.1137,0.1769,0.417,-0.2254,0.3196,1.0756,0.7419,0.7821,0.8632,0.829,0.8166,1.4178,-0.2472,0.4261,1.1843,0.8246,0.4116,-0.0945,0.6485,1.0243,0.4398,0.2178,0.4566,0.5021,1.1139,0.2042,0.6025,-0.0171,0.3481,0.4115,0.497,1.1214,1.1062,0.3215,0.7241,1.162,0.8743,0.4231,0.4798,0.3642
