epilepsy genes,gene id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
GABRB2,499320010,0.7059,0.5587,0.3748,0.7157,0.1498,0.5699,0.6014,0.0507,0.3508,0.8141,-0.747,0.7191,1.0646,0.6079,0.8314,0.4247,0.4426,0.538,0.5493,0.5828,-0.2321,0.8452,0.6416,0.5929,0.2505,0.2464,0.882,0.3287,0.2805,0.504,0.6329,0.5049,0.5847,0.2267,0.3714
GRIK2,499322119,0.1923,0.8158,-0.2601,0.4283,0.0714,0.0459,0.3104,0.0985,0.8737,0.8025,-0.8207,0.3135,0.2202,0.0468,0.3889,0.2466,0.4123,0.2019,0.3853,0.9773,-0.3185,0.1815,-0.1216,0.2596,0.1722,0.7679,0.3211,0.7465,0.184,-0.1194,-0.1872,0.8187,0.4604,-0.57,0.5116
CHRNA2,499326170,0.8763,-0.07,1.0003,0.346,0.7496,0.4924,0.7387,0.2131,0.2656,0.8681,-0.3023,0.6822,1.575,0.3064,1.736,0.2513,-0.1678,0.4061,0.7317,0.788,-0.8367,0.2737,-0.0406,0.2818,1.4794,0.7612,1.4894,0.3578,0.6395,0.4557,0.2039,0.8999,0.6568,0.6454,0.7689
RTN4,499310141,0.0643,0.5839,0.1899,1.103,-0.7031,-0.5894,0.2657,-0.4014,-0.8611,0.2647,-1.3826,2.2837,1.5174,0.1807,1.0258,-0.0462,0.4571,-0.2096,0.2966,0.7964,-0.2199,1.6536,0.5276,0.565,-0.7131,-0.4761,2.1047,-0.3714,-0.735,-0.8746,0.4628,0.244,-0.2858,0.1596,-0.5319
CNTNAP2,499325421,0.867,0.8866,0.4474,0.591,0.1399,0.5629,0.8698,0.1704,0.5792,0.9615,-0.866,0.7447,1.2747,0.7327,0.8895,0.6005,0.7472,0.7162,0.7133,0.602,-0.752,0.6713,0.8307,0.7298,0.4748,0.4019,0.9563,0.4788,0.1903,0.4963,0.4777,0.7707,0.6351,0.1236,0.741
GRIA2,499317616,0.3795,0.0913,-0.3165,1.0009,-0.1559,0.1559,0.3784,0.0383,0.282,0.3836,-1.0236,0.5798,0.7857,-0.3431,0.6141,0.3983,0.2007,0.2373,0.3091,0.6798,-0.4298,0.3966,0.1129,0.1954,0.0187,0.3282,0.4794,0.4231,-0.0567,0.1359,0.1965,0.2425,0.4363,-0.2509,0.1461
LRRC1,499321699,-0.9824,-0.6931,0.0622,-0.5078,-0.9782,-1.355,-0.32,-0.9856,-0.5678,-1.4775,0.9438,-0.8505,-1.1579,-0.8794,-1.4821,-0.7232,0.1573,-1.4998,-0.5043,-1.1581,0.7488,-0.6195,-0.8241,-0.6441,-0.5333,-0.5951,-0.4645,-1.1034,0.0041,-0.7443,0.0309,-0.8045,-1.4747,-0.455,-0.7397
KCNV1,499327226,0.9988,0.8108,0.6723,0.7565,0.1439,1.1919,0.7849,0.2494,0.399,0.7645,-0.5819,0.9744,1.1743,0.1193,1.0403,0.7659,1.2937,0.7146,0.9161,0.7402,-0.5617,0.8273,0.8547,0.8897,0.4901,0.4581,1.3537,0.566,0.4231,0.3353,0.9424,0.5958,0.7851,0.4721,0.5799
CACNB4,499311652,0.8133,0.7255,0.7276,0.5699,0.3263,0.7415,0.7657,0.1827,0.3325,0.8742,-0.5689,1.1102,1.1278,0.8086,0.8388,0.2547,0.652,0.6882,0.7253,0.9374,-0.3379,1.1059,0.7706,0.7071,0.4067,0.2174,1.0888,0.4034,0.4396,0.4935,0.3857,0.6416,0.7175,0.2796,0.518
LGI1,499331165,-0.3916,-0.2083,0.5025,1.0393,-0.4472,0.5225,-0.6934,0.6708,-0.2569,0.2361,-0.1898,0.3549,0.3656,0.1225,0.6401,0.481,-0.0369,-0.6653,0.3829,-0.1184,0.3741,0.3065,-0.3451,-0.0281,0.3458,0.228,0.3974,0.0688,-0.3982,0.3747,0.2944,-0.1738,-0.2768,1.0234,-0.16
ABAT,499342332,0.1654,0.0984,0.8317,1.6163,0.5741,0.2288,0.721,1.2396,0.3179,0.8871,-0.0181,0.6205,1.3666,0.4769,1.0946,0.6837,0.3844,0.9248,1.0948,0.3521,0.3497,0.7414,0.7595,0.831,0.1571,1.0168,1.1599,0.6209,0.1176,0.3203,0.6054,0.9118,0.357,1.4172,0.5959
DLGAP2,499325667,0.9989,0.5558,0.5761,0.2395,0.5937,0.6872,0.4667,1.1644,0.512,0.8409,-0.5767,0.6442,0.7483,0.3401,0.8324,0.7308,0.7346,0.6863,0.7584,0.5841,-0.1086,0.2691,0.6536,0.6679,1.0891,0.8611,0.531,0.5097,0.3366,0.6418,0.4199,0.7927,0.6396,0.2081,0.503
JRK,499327524,0.1458,-0.6421,0.2948,2.0966,0.313,-1.3444,0.4369,-0.286,1.2807,1.4693,0.5964,-0.0217,1.4052,0.243,2.3663,1.1168,-0.2016,0.246,0.0261,-0.6821,0.6253,-0.076,-0.1281,0.3253,2.7337,0.7213,0.2187,-0.7427,1.0949,0.2983,0.12,0.7014,1.5968,-0.5724,0.174
GABRA1,499320016,0.5498,0.4965,0.4578,0.8299,0.1739,0.6143,0.4898,0.1952,0.2821,0.8549,-0.9878,0.8364,0.9723,0.6549,0.7171,0.4531,0.5813,0.4672,0.5586,0.4195,-0.1665,0.8823,0.6371,0.5174,0.1909,0.3295,0.9979,0.3926,0.3483,0.3313,0.4819,0.4546,0.4884,0.2318,0.4471
KCNJ3,499311676,0.3481,0.2561,0.054,0.4501,0.0566,0.2819,0.2485,-0.222,-0.0325,0.527,-1.3272,0.5122,1.1141,0.5392,0.6264,0.0636,0.416,0.0083,0.0293,0.3703,-0.5672,0.4177,0.3155,0.4369,0.0011,-0.0244,0.7847,0.0333,0.1118,0.3071,0.4445,0.433,0.3314,-0.3222,-0.027
MAPK10,499316848,0.4356,0.2883,0.4023,1.1093,0.1568,0.5882,0.5275,0.2337,0.1773,0.8375,-1.0804,0.769,1.3353,0.4857,0.9921,0.5652,0.4578,0.3152,0.722,0.3466,-0.0978,0.9602,0.5782,0.7237,0.0651,0.2661,0.9066,0.1663,0.2007,0.449,0.7654,0.4167,0.3985,0.2945,0.1269
GABRB3,499340551,0.3024,0.1098,0.1787,0.5309,-0.0087,0.5587,0.3505,-0.2857,-0.0764,0.4019,-0.9079,0.4869,0.7635,0.2116,0.5549,0.2228,0.149,0.2205,0.0682,0.3186,-0.1616,0.2282,0.2588,0.4676,0.0269,0.118,0.3704,-0.0031,0.0087,0.4438,0.4273,0.3199,0.3739,-0.054,-0.2112
GRIA1,499319908,-0.166,-0.2021,-0.4216,0.195,-0.2557,0.0656,-0.1732,-0.469,-0.2286,-0.0498,-0.8043,0.0424,0.1351,-0.04,0.1495,-0.2199,-0.1557,-0.2487,-0.2025,-0.1688,-0.3288,-0.3475,-0.3374,-0.0186,-0.0979,0.0519,-0.252,-0.3234,-0.2948,0.0067,-0.118,-0.1234,-0.0634,-0.5369,-0.3175
CLIC5,499321578,0.7762,0.7808,-0.3659,0.6919,0.1885,-0.1428,0.6732,0.8246,0.602,0.9232,-0.0547,0.1278,0.409,2.785,0.4337,-0.1526,-0.5148,0.7454,0.1383,-0.6677,-0.2624,1.1102,0.6365,-0.4567,-0.0582,0.6447,-0.5856,1.0358,0.3555,0.2494,0.4024,1.6426,0.0452,0.1083,1.4562
SYN1,499353079,0.9509,0.6336,0.1776,-0.151,0.2477,0.7156,0.5562,0.3473,0.4744,0.3159,-0.027,0.2748,0.5725,0.3232,0.627,0.3562,0.6764,0.6168,0.4442,0.2659,0.0109,-0.3841,0.4631,0.6343,0.7045,0.3075,0.2331,0.4633,0.1385,0.7154,0.363,0.6904,0.6178,-0.0371,0.2581
CHRNA4,499350680,0.3856,0.4118,-0.1478,0.5796,0.6291,0.9003,-0.8806,1.8676,-0.6324,0.7908,-0.4392,0.5576,0.2457,1.0807,0.3762,0.6144,1.4287,0.5071,-0.1344,-1.5858,0.714,-1.0832,-1.6428,0.3053,2.1984,1.3584,0.1269,-0.3399,0.6886,0.6517,0.0968,1.2284,0.2916,0.0513,-0.2434
