Mean,STD
0.5239625,0.6015436262720357
0.5559895833333331,0.3973138286038163
0.6631166666666667,0.40160842172091354
0.42187291666666665,0.3432571610507036
0.15994583333333337,0.3995602923418593
0.1727979166666667,0.3220340648623024
0.3158645833333333,0.5939587773107688
0.23971250000000002,0.3370798400436161
-0.5076062499999999,0.5295960264547895
0.5340541666666666,0.6570087806525952
-0.26935625,0.5363792695576239
0.28748958333333335,0.32410721120837394
0.2141416666666667,0.3248934475632027
0.7035666666666667,0.3880806794454798
0.154425,0.6476484732427129
0.49623541666666665,0.26195940199473605
0.24258958333333333,0.3630580589168949
0.5185062500000001,0.6808291220007865
0.25836875,0.7451492545496178
0.5678916666666666,0.40287893267973585
0.22853958333333332,0.2858617324895908
-0.632575,0.44074788736052495
0.6655145833333334,0.3229260787486711
0.6347395833333335,0.27733516073254416
0.13418333333333335,0.4428373296904586
0.6410416666666667,0.4639879803254873
0.5923958333333332,0.2889143994248737
0.4071479166666667,0.8134659055977917
0.5024416666666666,0.2594563972168302
0.20303958333333338,0.33879465489741234
0.45822708333333334,0.42973408538828234
0.21244791666666665,0.29798993342242164
-0.16362916666666671,0.20371450815622663
0.29139374999999995,1.0455132518277042
0.38786458333333346,0.3331036663694335
0.31772291666666663,0.6406666744583527
