Mean,STD
0.19627999999999998,1.11904459402285
0.3216371428571429,0.7407565008690993
0.3911085714285714,0.8791593693347501
0.3557857142857144,0.4040797075875422
-0.17169714285714283,1.0495489110833771
0.78988,0.49793936720424575
0.7462628571428571,0.9969940415438547
0.18525714285714284,0.45235729520038515
0.7026799999999999,0.47270127042226523
0.4080571428571429,0.32599914136093555
0.687917142857143,0.3545666240270643
0.30740285714285714,0.3265913388910604
0.5128657142857144,0.5803553921028537
0.29721714285714296,0.26840923593045957
0.5144085714285714,0.26653324521853305
0.6131657142857142,0.7176895092803659
0.5978171428571429,0.4120153334423327
0.30957999999999997,0.2621972223570736
0.4800057142857143,0.8096854490707949
0.3805199999999999,0.3277988064795413
0.721622857142857,0.5095502798522232
0.6117657142857142,0.32503256211797427
-0.13173142857142855,0.21618612320300815
0.6637828571428573,0.2521540221252669
0.6519228571428574,0.5352309155790579
0.7324257142857145,0.4478232196794106
0.6532771428571428,0.9885470392823751
0.11750857142857148,0.8708448191509305
0.29251999999999995,0.3929354346005281
