epilepsy genes,gene id ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
TSC1,499329555,0.5197,1.2173,-0.6087,0.684,2.6029,-0.7728,0.4102,1.1684,0.8664,-0.5072,0.2567,0.2431,1.0304,0.4181,1.0299,1.5103,0.2176,1.3433,1.2837,-0.1954,-0.4143,0.6016,0.8307,1.2475,-0.1599,0.7795,1.4144,1.0742,0.8839,1.2721,-0.125,0.8989,-0.0457,0.1522,0.3328
MAPK10,499316848,0.7974,0.8845,0.3944,0.3734,0.8939,0.4287,0.611,0.9953,0.416,0.3909,0.2304,0.3232,0.2742,1.0032,-0.3968,1.5834,0.9866,0.3734,1.3083,0.6626,-0.0844,0.8106,0.2829,0.5976,0.6544,0.8866,0.6778,0.8163,0.6663,0.9791,-0.4355,0.7289,0.821,0.4872,0.5008
GABRB3,499340551,0.4573,0.3991,0.3169,0.2974,0.2256,0.1434,0.5011,0.6067,0.2878,0.0231,0.0228,-0.0355,0.308,0.4786,-0.1097,0.9017,0.5964,0.3714,0.7545,-0.0117,-0.1129,0.2406,0.0249,0.3999,0.3072,0.7319,0.3738,0.4045,0.3526,0.6918,0.024,0.5659,0.0568,0.0046,0.2348
ATP6AP2,499352976,0.8756,1.3697,0.2785,0.0465,0.7882,-0.4973,0.7047,0.3205,0.3763,0.2266,-0.0931,0.3215,0.5745,-0.1315,-1.3806,3.2935,0.5881,0.1382,0.8758,0.1569,-0.1691,0.8456,-0.4255,1.0597,1.0001,1.6953,0.3148,1.3257,0.5216,0.6306,-0.7745,0.8078,1.2578,0.3336,-0.4559
GRIA3,499354037,0.5442,0.5027,0.3955,-0.0275,0.4606,0.1247,0.826,0.4345,0.1769,0.4497,0.3256,0.4917,0.3557,0.5082,-0.4557,1.2489,0.3339,0.1776,0.5967,0.2214,0.1775,0.7488,0.4214,0.2869,0.4598,0.7315,0.236,0.6139,0.5636,0.6296,-0.4598,0.7122,0.1072,0.3993,-0.001
CHRNA2,499326170,0.58,0.8887,0.3881,1.077,0.5461,0.6888,0.8717,1.1121,0.7072,1.4515,1.1157,1.059,-0.471,0.525,-0.3848,1.0395,0.6855,1.4253,1.5094,0.3607,0.135,1.3484,0.2902,0.3722,0.0367,1.6018,0.6627,0.6173,0.8971,0.8327,0.1022,1.2305,1.1881,0.2043,0.5621
GABRB2,499320010,0.7299,1.0282,0.5323,0.4071,0.7257,0.3919,0.6387,0.8756,0.5919,0.4855,0.5585,0.366,0.2442,0.6903,-0.2348,1.4725,0.7912,0.6191,1.1138,0.6353,0.201,0.8336,0.1654,0.4858,0.7537,0.9644,0.5468,0.8751,0.6825,0.8167,-0.0777,0.6889,0.8277,0.5517,0.4333
GRIA1,499319908,0.0248,-0.1817,-0.1428,-0.3231,-0.0725,-0.2551,0.1329,0.085,-0.2279,-0.4924,-0.4016,-0.4797,0.26,0.099,-0.4542,0.0587,0.157,0.107,0.0777,-0.4034,-0.4164,-0.3219,-0.2384,-0.007,-0.1034,0.07,-0.049,-0.1532,-0.2377,0.1463,-0.1601,0.0373,-0.4833,-0.2227,-0.0388
DLGAP2,499325667,0.6831,0.5671,0.7235,0.5957,0.46,0.6877,0.9353,0.7588,0.3159,1.6275,0.4748,0.6557,0.5319,0.8964,0.1078,0.5964,0.3538,0.4701,0.7367,0.6738,0.8789,0.7875,0.7863,0.8351,0.4693,0.7323,0.5832,0.6549,0.7199,0.7708,0.3304,0.9651,0.571,0.5283,0.7674
OPRM1,499322792,0.8083,0.731,0.8252,0.2991,1.0545,0.6549,0.5947,1.3593,0.5685,-0.3941,0.2036,0.1749,1.3871,0.8951,1.2414,-0.246,1.0325,1.1758,1.065,-0.4171,0.5764,-0.2883,0.6946,0.8715,0.4969,0.9713,1.0866,0.8032,0.3976,1.1657,1.3149,0.9524,-0.4469,0.0914,1.1163
CNTNAP2,499325421,0.9329,1.4648,0.1878,0.4452,0.8559,0.4205,0.9179,0.7412,0.8071,0.8544,0.8413,0.5043,0.6088,0.8671,-0.3693,1.5171,1.0294,0.6881,1.1812,0.4853,0.4737,1.3247,0.2351,0.6458,0.8156,1.6411,0.4444,0.4721,1.0693,1.1438,-0.2698,0.9661,0.8615,0.7318,0.0987
RTN4,499310141,1.1479,1.7306,0.6426,0.0705,0.7814,-0.3681,0.9825,-0.006,0.5335,0.1932,0.3227,0.6325,0.1992,0.7906,-2.109,3.9354,0.8345,0.1914,1.725,0.4702,-0.72,0.7524,-0.0305,1.0063,1.2898,1.9165,0.741,1.0278,1.1262,1.0223,-1.0573,1.4043,1.3344,0.3744,-0.0235
GABRE,499354400,0.9105,-0.9271,0.3423,1.3832,-0.9338,0.0098,-0.1025,-0.6062,1.0276,-0.0561,0.3901,0.2462,0.7645,-0.0955,0.9872,-1.5826,0.1005,-0.5025,0.4928,0.8657,1.5638,-1.3549,-0.3595,-0.5858,1.1097,-0.0887,0.1082,0.8693,-0.9296,-0.0343,2.1756,-0.4476,-1.1014,-0.4013,0.8752
CHRNB2,499307542,0.4134,0.5247,0.2548,0.2002,-0.0139,0.2783,0.6818,0.3077,-0.2089,1.2534,0.9483,0.6601,-0.2778,0.2643,-0.2905,0.2844,-0.0827,0.1549,0.1647,0.0441,0.1866,0.7905,0.4013,0.2381,0.4759,0.7781,-0.1927,0.0522,0.8851,0.4165,-0.5875,0.5974,0.5485,0.1469,-0.06
