T-Score,DOF
0.06181529031039921,84
0.7023741225948263,84
0.5334719646222095,84
0.31046866020346103,84
0.30987949531403436,84
0.03904048235357614,84
0.27316651305455925,84
0.19743990431079958,84
0.7149256960981757,84
0.1643092440045,84
0.7194323275579987,84
0.6531700110292052,84
0.3927768397027137,84
0.41160070497735723,84
0.5605968700186075,84
0.31374460202447874,84
0.7213479546565245,84
0.7074809498177118,84
0.9509235967061502,84
0.09017768594912844,84
0.2785527267843199,84
0.42856398938308615,84
0.24948236715093333,84
0.4172519789045612,84
0.15907092771262615,84
0.5934091181857973,84
0.7743056276332023,84
0.13573161134283204,84
0.08430715220821607,84
0.06807137180589827,84
0.07051274771864521,84
0.5520700196220988,84
0.39179810182747143,84
0.29091465226145297,84
0.987935823621501,84
0.36649093935443783,84
0.2723038281966047,84
0.9518426617100915,84
0.44937636154382943,84
0.2581519631549948,84
0.8836754601427222,84
0.044598477038289466,84
0.5197929070260414,84
0.2600991475698551,84
0.18165190601950412,84
0.31393846426335414,84
0.304560155409104,84
0.46079806902850795,84
0.1537294847207002,84
0.6809501408067864,84
0.07722180884654302,84
0.20371308829487406,84
0.013983254784358457,84
0.3454546889324992,84
0.037785348685990885,84
