T-Score,DOF
0.6540629425041884,89
0.2725131490888318,89
0.4746883055608272,89
0.10410371080354597,89
0.30533240485406454,89
0.12173081663672139,89
0.44733631103426613,89
0.05572999526588206,89
0.1100935864433769,89
0.25793591228069235,89
0.34609030033085925,89
0.10037006058709347,89
0.580998322179304,89
0.12786848260721578,89
0.12607791250450817,89
0.20183464683989077,89
0.035034714661904595,89
0.18426685960885958,89
0.15316684795030897,89
0.42861176846344634,89
0.45173720521868804,89
0.2882363388530346,89
0.25711796430215456,89
0.20942328190711212,89
0.39738934725117403,89
0.18338946287771604,89
0.28738338047663137,89
0.26546247597285527,89
0.23776750093191357,89
