Mean,STD
0.33176071428571424,0.6317489693278124
0.35988928571428574,0.47479100997791035
0.46839642857142844,0.497866973092315
0.36433928571428575,0.34176381832996966
-0.10885535714285711,0.7808006082150302
0.8024000000000002,0.44233890544776555
0.829255357142857,0.5806186872386896
0.19053214285714287,0.41750344717450827
0.7136125000000001,0.4412413761454464
0.42652678571428587,0.3421858615064846
0.7121964285714286,0.2728610228764724
0.3142,0.2935354994792716
0.5765910714285714,0.3671435940420368
0.30461607142857144,0.2687549987877
0.5216625000000001,0.2677934818695522
0.5829357142857143,0.6573550009292949
0.6009017857142858,0.40311316953344345
0.31976785714285716,0.24735933751759373
0.5051357142857141,0.6771314682148166
0.4098517857142858,0.300565472517188
0.668155357142857,0.6075189253826189
0.6299821428571427,0.23375397408942036
-0.12016071428571429,0.1965442764630647
0.6520214285714284,0.2736728549426624
0.6932607142857143,0.3842071310107095
0.7488642857142856,0.35927740835716926
0.7072785714285713,0.6432353491853183
0.06807857142857142,0.8533587766668166
0.31150714285714287,0.33177252549800546
