,,DONOR #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilepsy genes,gene id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
GRM7,499313027,1.0171,1.0384,0.7157,0.6174,0.6513,0.6413,0.0541,0.7983,-0.0256,-0.0747,0.5503,0.6036,1.2982,1.2524,0.9778,1.3518,0.4411,0.7694,0.7027,0.2937,1.0568,-0.1586,0.8651,0.5487,0.2788,0.3865,0.3738,1.3803,1.2907,-0.1252,0.8215,0.7164,-0.5599,1.066,0.6086
GABRB2,499320010,-0.4506,-0.3254,0.1733,-0.62,0.1344,-0.1057,-0.313,-0.2904,-0.7908,-0.5774,-0.345,-0.2773,-0.6582,0.2122,0.5025,0.2618,-0.0256,-0.9051,-0.8082,-0.5752,0.0972,-0.0835,-0.0649,-0.5094,0.1602,-1.0117,-0.0979,0.2213,-0.1685,-0.4868,-0.0034,-0.3502,-1.3311,-0.3315,-0.6648
GABRG2,499320018,-0.2222,-0.032,0.3788,-0.4044,0.1831,-0.0714,-0.3256,-0.3552,-0.5665,-0.8591,-0.8904,-0.6961,-0.2711,0.4724,0.9505,0.511,-0.1018,-0.1381,-0.2232,-0.2738,0.1812,-0.6625,-0.2135,-0.3311,0.2001,-0.5277,-0.0501,0.0435,-0.0517,-0.475,0.0742,-0.0497,-1.2148,-0.0505,-0.4773
CNTNAP2,499325421,0.0001,0.1023,-0.1309,-1.1518,-0.0717,-0.5412,-0.7209,-0.8319,-1.4016,-0.7879,-0.2027,-0.8097,0.3263,-0.0719,-0.1206,0.1817,-0.2894,-0.9839,-0.6757,-0.754,0.185,-0.5345,-0.4414,-0.6006,-0.5536,-0.9472,-0.1622,-0.262,0.1638,-0.8645,-0.3593,-0.2805,-1.1639,-0.8236,-0.3174
GRM1,499322681,1.0747,1.1092,1.3091,0.8344,0.782,0.8084,0.3172,0.3501,0.8299,-0.1391,-0.0129,0.577,1.3859,1.3553,1.3544,2.0136,0.4643,0.9539,0.6447,0.9798,0.8505,-0.9431,1.1384,0.4354,0.4271,0.44,0.3821,1.6432,1.2498,-0.054,1.4947,0.9757,0.1887,1.3685,0.3703
GRM2,499313791,-0.2466,0.95,-0.2594,-0.2333,-0.6507,-0.0662,0.2909,-0.148,0.1448,-1.4863,-1.1137,0.0098,1.1504,0.9929,-0.8912,1.8423,-0.8872,-0.3833,0.3275,-0.4164,0.5899,-1.8311,-0.1279,-0.7355,-0.4769,1.1766,-2.0149,0.5215,0.0003,-0.7064,0.8129,-0.0199,-0.0413,1.1165,-0.5042
DLGAP2,499325667,0.092,-0.1065,-0.0616,0.0075,-0.0464,-0.5345,-0.6771,-0.3885,-0.1716,-0.5779,-0.1808,-0.1053,0.2549,-0.1506,-0.5762,0.3441,-0.319,0.1061,0.0227,-0.2431,-0.0117,-0.5975,-0.2704,-0.664,-0.5456,-0.2212,-0.5053,-0.0036,0.3757,-0.7719,0.1154,-0.1347,-0.48,0.0684,-0.495
CACNB1,499344919,0.4948,0.384,0.5764,-0.0349,0.4874,0.4184,-0.1126,0.2013,0.0669,0.2049,0.434,-0.1762,0.3668,1.2695,-0.3265,0.6496,0.2658,0.134,0.5565,-0.0688,0.7698,0.4879,-0.3331,-0.0981,-0.055,-0.0166,0.2967,0.0676,1.012,-0.4549,0.671,0.4021,-0.3257,0.4326,-0.2873
CACNA1E,499308197,1.1,1.2967,1.2032,0.9827,1.0615,0.8446,0.3877,1.0648,0.8856,0.4528,1.0093,0.849,1.483,1.2825,0.9303,1.5962,1.012,0.6895,1.2317,0.7432,1.1852,0.3777,1.0831,0.7872,0.513,1.1155,0.8091,1.3598,1.468,0.2983,1.4804,0.878,0.8565,1.1933,0.657
KCNJ3,499311676,0.6123,0.5054,0.9085,0.4549,1.0916,0.7096,0.383,0.3535,0.6,0.4107,0.3721,0.1911,0.0575,1.0308,1.4525,1.1268,0.7714,0.4127,0.251,0.668,0.4972,0.6101,0.4162,0.565,0.532,-0.1442,0.7788,1.0521,0.8341,0.0541,0.9867,0.6859,-0.4345,0.4971,0.1632
GABRA1,499320016,-0.669,-0.5257,0.0739,-0.5537,0.0652,-0.161,-0.2465,-0.3026,-1.0213,-0.7975,-0.5839,-0.5139,-0.8402,0.1763,0.6896,0.0624,-0.0337,-0.9104,-0.817,-0.5777,0.2973,-0.4958,-0.237,-0.5039,0.4065,-1.2751,-0.166,-0.2555,-0.2337,-0.4629,-0.0803,-0.3931,-1.2262,-0.7005,-0.6574
GABBR2,499328961,0.1374,0.1044,-0.0011,-0.2333,0.159,-0.2385,-0.4921,-0.0559,-0.1837,-0.4518,-0.0811,-0.3638,0.2156,0.1315,0.1582,0.1261,0.1294,-0.1064,0.0437,-0.3756,0.2332,-0.569,-0.1198,-0.1356,-0.3912,-0.1281,-0.2462,0.2241,0.2854,-0.6543,0.1374,-0.0752,-0.5007,-0.0016,-0.3108
ATP2A2,499336542,0.8614,0.5438,0.6513,-0.5038,0.9442,0.2625,-0.1452,0.0718,0.1525,-0.1378,0.541,-0.5298,0.2622,0.9547,1.0564,0.4239,0.6014,-0.0078,0.5087,-0.3141,1.1024,-0.2577,-0.0129,0.538,-0.517,-0.0532,0.5986,0.9897,0.9623,-0.0964,0.6987,0.4008,-0.3177,-0.4691,-0.0632
GABBR1,499320988,0.5884,0.753,-0.1992,-0.364,0.5467,0.4959,0.4221,1.0815,-0.3821,-0.8361,0.8245,0.8368,1.4118,0.9235,-0.1968,0.3677,0.6835,0.3145,1.1956,0.1399,1.5939,-1.1814,0.3532,0.1807,-0.0446,0.8609,-0.3449,0.7635,1.233,1.0047,-0.3461,0.2132,0.0606,0.9997,-0.0014
GRM4,499321302,-1.0785,-1.4805,0.0207,0.215,-0.7661,-0.6997,-0.4612,-0.441,0.4027,-0.9602,-0.7788,0.3007,-1.3123,-0.9498,-0.902,-1.2977,0.6485,-0.0283,-1.4992,-0.2412,-0.8147,-1.4349,-0.5763,0.0286,-0.2804,0.0458,-1.1115,-0.9939,-0.6311,-1.4272,-1.813,-0.9619,0.2588,-0.9235,-1.0767
