T-Score,DOF
0.25555659957974636,81
0.8172625362985244,81
0.15736351909058752,81
0.4897371460901746,81
0.3668928964433822,81
0.040228072045631044,81
0.1002074393463828,81
0.08334407927955181,81
0.002530223048866928,81
0.35893991070128367,81
0.2170322251250046,81
0.0869950615055599,81
0.3715399717758472,81
0.14192759420161105,81
0.45674284310346097,81
0.3386644046919479,81
0.12125335384242134,81
0.29470069919662584,81
0.4299481054991634,81
0.13020430169802558,81
0.35629836390391856,81
0.25484839965018186,81
0.11680181657287834,81
0.6730292058780415,81
0.10458216609119916,81
0.3512632338898384,81
0.25072368114803634,81
0.25351357519375417,81
0.5706362668053916,81
0.03684950274023216,81
0.04653754129594227,81
0.28485808720590733,81
0.37114261607574117,81
0.6452189813392353,81
0.0006877936665573381,81
0.027248475492244392,81
